Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71522846,0,"Monday, January 31, 2011 22:41:19 UTC",38.8148,-122.8248,1.2,2.70,21,"Northern California"
nc,71522826,0,"Monday, January 31, 2011 22:31:58 UTC",37.4973,-119.1895,1.3,0.50, 6,"Central California"
ci,14926308,2,"Monday, January 31, 2011 22:22:30 UTC",33.7680,-116.7907,1.3,11.00,46,"Southern California"
nc,71522821,0,"Monday, January 31, 2011 22:12:28 UTC",38.8255,-122.7875,0.5,3.10, 6,"Northern California"
ci,14926300,2,"Monday, January 31, 2011 21:40:07 UTC",35.6843,-118.3952,1.4,6.30,27,"Central California"
uu,00005564,1,"Monday, January 31, 2011 21:31:06 UTC",44.2793,-110.4291,2.0,0.60,30,"Yellowstone National Park, Wyoming"
nc,71522796,1,"Monday, January 31, 2011 20:42:09 UTC",38.8250,-122.8042,1.7,3.40,31,"Northern California"
ak,10165812,1,"Monday, January 31, 2011 20:36:47 UTC",57.8962,-156.1106,3.0,145.30,37,"Alaska Peninsula"
ak,10165807,1,"Monday, January 31, 2011 20:19:00 UTC",61.5916,-141.2391,3.1,0.00,27,"Southern Alaska"
nc,71522786,0,"Monday, January 31, 2011 19:44:02 UTC",38.7905,-122.7782,1.4,1.30,20,"Northern California"
nc,71522781,0,"Monday, January 31, 2011 19:27:15 UTC",37.8462,-121.7942,1.7,6.90, 9,"San Francisco Bay area, California"
nc,71522776,0,"Monday, January 31, 2011 19:21:50 UTC",38.7755,-122.7342,0.3,3.50, 5,"Northern California"
nc,71522771,0,"Monday, January 31, 2011 19:07:56 UTC",38.7690,-122.6947,0.6,1.40, 8,"Northern California"
ak,10165772,1,"Monday, January 31, 2011 18:44:55 UTC",60.0557,-140.8077,2.9,10.30,22,"Southern Yukon Territory, Canada"
ak,10165757,1,"Monday, January 31, 2011 18:17:46 UTC",61.5908,-141.2339,3.0,0.00,24,"Southern Alaska"
